entry_number,body_type,highway_fuel_economy,horsepower,interior_color,listed_date,listing_color,listing_id,longitude,main_picture_url,,make_name,maximum_seating,mileage,model_name,power,price,sp_name,transmission,transmission_display,trim_name,wheel_system,wheel_system_display,year,age_of_customer
446,SUV / Crossover,26,290,Black (Ebony),06/03/20,GRAY,267879618,-73.1055,https://static.cargurus.com/images/forsale/2020/06/15/19/17/2017_acura_mdx-pic-4538336593120499889-152x114.jpeg,,Acura,6 seats,50275,MDX,"290 hp @ 6,200 RPM",29601,Generation Kia,A,9-Speed Automatic,SH-AWD with Advance Package,AWD,All-Wheel Drive,2017,62
447,Hatchback,35,197,Smoke Storm,05/09/20,ORANGE,281456153,-73.2587,https://static.cargurus.com/images/forsale/2020/09/06/00/30/2015_ford_fiesta-pic-2598515575377659050-152x114.jpeg,,Ford,5 seats,43716,Fiesta,"197 hp @ 6,000 RPM",13972,Atlantic Chevrolet Cadillac,M,6-Speed Manual,ST,FWD,Front-Wheel Drive,2015,36
448,SUV / Crossover,27,271,Black/Iceland Gray,29/07/20,BLACK,277770261,-72.6545,https://static.cargurus.com/images/forsale/2020/08/26/21/18/2014_jeep_cherokee-pic-3957923284772869423-152x114.jpeg,,Jeep,5 seats,91194,Cherokee,"271 hp @ 6,500 RPM",13333,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Latitude 4WD,4WD,Four-Wheel Drive,2014,32
449,SUV / Crossover,,181,Black,30/07/20,GRAY,277951644,-73.1055,https://static.cargurus.com/images/forsale/2020/08/29/01/43/2020_kia_sportage-pic-6051404785022374345-152x114.jpeg,,Kia,5 seats,12870,Sportage,"181 hp @ 6,000 RPM",20904,Generation Kia,A,6-Speed Automatic Overdrive,LX AWD,AWD,All-Wheel Drive,2020,49
450,SUV / Crossover,28,176,Ash,21/07/20,GRAY,277096096,-72.6545,https://static.cargurus.com/images/forsale/2020/08/26/21/18/2017_toyota_rav4-pic-4550707945829855489-152x114.jpeg,,Toyota,5 seats,34947,RAV4,"176 hp @ 6,000 RPM",22553,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Limited AWD,AWD,All-Wheel Drive,2017,18
451,SUV / Crossover,23,290,Dark Graystone/Medium Graystone,24/07/20,RED,277378775,-72.6545,https://static.cargurus.com/images/forsale/2020/08/26/21/18/2013_jeep_grand_cherokee-pic-2372809646691896854-152x114.jpeg,,Jeep,5 seats,154718,Grand Cherokee,"290 hp @ 6,400 RPM",8993,Gengras Chrysler Dodge Jeep Ram,A,Automatic,Laredo 4WD,4WD,Four-Wheel Drive,2013,77
452,SUV / Crossover,30,240,Black,20/08/20,RED,279775077,-73.8317,https://static.cargurus.com/images/forsale/2020/09/01/23/23/2014_ford_escape-pic-4699857947496717790-152x114.jpeg,,Ford,5 seats,79364,Escape,"240 hp @ 5,500 RPM",6500,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,SE AWD,AWD,All-Wheel Drive,2014,67
453,Pickup Truck,24,308,Jet Black,07/09/20,UNKNOWN,281553898,-73.2587,https://static.cargurus.com/images/forsale/2020/09/07/23/27/2017_chevrolet_colorado-pic-6587280114560771296-152x114.jpeg,,Chevrolet,5 seats,23006,Colorado,"181 hp @ 3,400 RPM",31572,Atlantic Chevrolet Cadillac,A,8-Speed Automatic,Z71 Crew Cab 4WD,4WD,Four-Wheel Drive,2017,50
454,Pickup Truck,22,355,Jet Black,01/09/20,BLACK,280958985,-73.2587,https://static.cargurus.com/images/forsale/2020/09/03/00/16/2018_chevrolet_silverado_1500-pic-7910934720419030280-152x114.jpeg,,Chevrolet,6 seats,38046,Silverado 1500,"355 hp @ 5,600 RPM",36871,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LT Crew Cab 4WD,4WD,Four-Wheel Drive,2018,60
455,Pickup Truck,,360,Jet Black,27/12/19,WHITE,261670104,-73.2587,https://static.cargurus.com/images/forsale/2020/08/28/12/21/2018_chevrolet_silverado_3500hd-pic-7431414178609893424-152x114.jpeg,,Chevrolet,6 seats,33854,Silverado 3500HD,"360 hp @ 5,400 RPM",50759,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,LTZ Crew Cab 4WD,4WD,Four-Wheel Drive,2018,52
456,Sedan,39,140,Stone,30/08/20,WHITE,280845134,-73.2587,https://static.cargurus.com/images/forsale/2020/09/01/00/12/2012_honda_civic-pic-5460197901975700408-152x114.jpeg,,Honda,5 seats,78271,Civic,"140 hp @ 6,500 RPM",9269,Atlantic Chevrolet Cadillac,A,5-Speed Automatic,LX,FWD,Front-Wheel Drive,2012,69
