entry_number,body_type,listed_date,main_picture_url,,make_name,maximum_seating,mileage,model_name,power,price,sp_name,transmission,transmission_display,trim_name,wheel_system,wheel_system_display,year,age_of_customer
127,SUV / Crossover,10/01/20,https://static.cargurus.com/images/forsale/2020/07/24/00/17/2018_chevrolet_suburban-pic-4115911793892097780-152x114.jpeg,,Chevrolet,8 seats,38003,Suburban,"355 hp @ 5,600 RPM",37924,Atlantic Chevrolet Cadillac,A,6-Speed Automatic Overdrive,1500 LT 4WD,4WD,Four-Wheel Drive,2018,65
128,SUV / Crossover,19/07/20,https://static.cargurus.com/images/forsale/2020/07/22/23/16/2016_jeep_compass-pic-5371904219618384187-152x114.jpeg,,Jeep,5 seats,81834,Compass,"172 hp @ 6,000 RPM",10500,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic,High Altitude Edition 4WD,4WD,Four-Wheel Drive,2016,19
129,Sedan,20/06/19,https://static.cargurus.com/images/forsale/2019/03/19/18/19/2019_mazda_mazda3-pic-9197907815749041716-152x114.jpeg,,Mazda,5 seats,26,MAZDA3,"186 hp @ 6,000 RPM",32195,Flagship Chrysler,A,6-Speed Automatic Overdrive,Premium Sedan FWD,FWD,Front-Wheel Drive,2019,19
130,SUV / Crossover,12/01/20,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_range_rover_evoque-pic-7818507715354694284-152x114.jpeg,,Land Rover,5 seats,40,Range Rover Evoque,"246 hp @ 5,500 RPM",59808,Land Rover San Juan,A,9-Speed Automatic Overdrive,P250 First Edition AWD,AWD,All-Wheel Drive,2020,59
131,SUV / Crossover,05/08/20,https://static.cargurus.com/images/forsale/2020/09/01/18/49/2019_jeep_renegade-pic-6457139498584410516-152x114.jpeg,,Jeep,5 seats,14252,Renegade,"177 hp @ 5,750 RPM",18200,Eastchester Chrysler Jeep Dodge Ram,A,9-Speed Automatic,Sport 4WD,4WD,Four-Wheel Drive,2019,38
132,Coupe,05/06/20,https://static.cargurus.com/images/forsale/2020/08/20/13/28/2017_chevrolet_camaro-pic-6919620535285926559-152x114.jpeg,,Chevrolet,4 seats,16626,Camaro,"335 hp @ 6,800 RPM",22759,Atlantic Chevrolet Cadillac,M,6-Speed Manual,1LT Coupe RWD,RWD,Rear-Wheel Drive,2017,42
133,Sedan,03/09/20,https://static.cargurus.com/images/forsale/2020/09/05/01/05/2014_chevrolet_cruze-pic-8589451743725399566-152x114.jpeg,,Chevrolet,5 seats,68344,Cruze,"138 hp @ 4,900 RPM",8000,Eastchester Chrysler Jeep Dodge Ram,A,6-Speed Automatic Overdrive,1LT Sedan FWD,FWD,Front-Wheel Drive,2014,80
134,SUV / Crossover,25/06/20,https://static.cargurus.com/images/forsale/2020/08/20/14/57/2018_chevrolet_trax-pic-542929744879755133-152x114.jpeg,,Chevrolet,5 seats,4580,Trax,"138 hp @ 4,900 RPM",15724,Atlantic Chevrolet Cadillac,A,6-Speed Automatic,LT FWD,FWD,Front-Wheel Drive,2018,66
135,SUV / Crossover,19/07/20,https://static.cargurus.com/images/forsale/2020/08/17/23/14/2018_audi_sq5-pic-6714428407983026406-152x114.jpeg,,Audi,5 seats,45968,SQ5,"354 hp @ 5,400 RPM",36500,Eastchester Chrysler Jeep Dodge Ram,A,8-Speed Automatic,3.0T quattro Premium Plus AWD,AWD,All-Wheel Drive,2018,35
136,SUV / Crossover,20/08/20,https://static.cargurus.com/images/forsale/2019/11/14/20/13/2020_land_rover_range_rover_sport-pic-4115886702534477632-152x114.jpeg,,Land Rover,5 seats,14,Range Rover Sport,"395 hp @ 5,500 RPM",88235,Land Rover San Juan,A,8-Speed Automatic Overdrive,V6 HST 4WD,AWD,All-Wheel Drive,2020,46
